method  , sim_id, p, q  , time               , n_models, aic               , bic
stepwise,    533, 1, 5.0, 14.788497924804688 ,     16.0, 5725.133365006421 , 5764.395407238278
stepwise,    534, 1, 7.0, 14.607982873916626 ,     17.0, 5781.39183466606  , 5830.469387455882
stepwise,    535, 1, 2.0,  8.694432020187378 ,     10.0, 5484.09173442647  , 5508.630510821381
stepwise,    536, 1, 4.0, 11.905427932739258 ,     14.0, 5430.710608407915 , 5465.06489536079
stepwise,    537, 1, 4.0, 13.289062976837158 ,     14.0, 5640.728384090735 , 5675.0826710436095
stepwise,    538, 2, 0.0,  9.441035032272339 ,     11.0, 5412.947920301193 , 5432.578941417122
stepwise,    539, 1, 2.0,  7.945293188095093 ,     10.0, 5728.6041187703195, 5753.142895165231
stepwise,    540, 1, 4.0, 12.60555100440979  ,     14.0, 5736.411755860429 , 5770.766042813304
stepwise,    541, 1, 1.0,  9.929141998291016 ,     11.0, 5695.233115421059 , 5714.864136536988
stepwise,    542, 1, 5.0, 15.461491823196411 ,     16.0, 5566.015167672736 , 5605.277209904593
stepwise,    543, 1, 5.0, 13.375434160232544 ,     16.0, 5682.424601796343 , 5721.6866440282
stepwise,    544, 1, 4.0, 12.037508964538574 ,     14.0, 5824.6919789701315, 5859.046265923006
stepwise,    545, 2, 0.0,  9.676249027252197 ,     12.0, 5471.976318900811 , 5491.60734001674
stepwise,    546, 1, 6.0, 16.31721806526184  ,     18.0, 5662.220981215297 , 5706.390778726136
stepwise,    547, 1, 4.0, 14.110235929489136 ,     14.0, 5444.611184249657 , 5478.965471202531
stepwise,    548, 1, 6.0, 15.945904970169067 ,     18.0, 5489.989224058642 , 5534.159021569481
stepwise,    549, 1, 4.0, 14.26663589477539  ,     14.0, 5718.182423224527 , 5752.536710177402
stepwise,    550, 1, 4.0, 14.194738864898682 ,     14.0, 5467.978916247154 , 5502.333203200029
stepwise,    551, 2, 0.0,  9.285247087478638 ,     11.0, 5793.86482018702  , 5813.495841302949
stepwise,    552, 1, 4.0, 12.707766056060791 ,     14.0, 5598.319229408334 , 5632.673516361208
stepwise,    553, 2, 0.0, 10.1335289478302   ,     11.0, 5835.437625834933 , 5855.068646950862
stepwise,    554, 1, 4.0, 12.548634052276611 ,     14.0, 5498.17827933201  , 5532.5325662848845
stepwise,    555, 2, 4.0, 19.367507219314575 ,     18.0, 5412.350873018286 , 5451.612915250143
stepwise,    556, 3, 7.0, 23.21231698989868  ,     21.0, 5578.53148709013  , 5637.424550437916
stepwise,    557, 1, 4.0, 13.275786876678467 ,     14.0, 5549.787876152461 , 5584.142163105335
stepwise,    558, 1, 5.0, 16.289623022079468 ,     17.0, 5765.494867230576 , 5804.756909462433
stepwise,    559, 1, 5.0, 14.688122034072876 ,     15.0, 5508.053652737943 , 5547.3156949698
stepwise,    560, 1, 5.0, 16.14827585220337  ,     17.0, 5508.7875748572715, 5548.049617089128
stepwise,    561, 2, 5.0, 18.817667961120605 ,     18.0, 5649.085195632853 , 5693.254993143692
stepwise,    562, 1, 4.0, 12.345385074615479 ,     14.0, 5518.485474287609 , 5552.839761240483
stepwise,    563, 1, 4.0, 14.228436946868896 ,     14.0, 5307.995616294819 , 5342.349903247694
stepwise,    564, 1, 7.0, 16.359177112579346 ,     18.0, 5527.966286006612 , 5577.043838796433
stepwise,    565, 1, 6.0, 15.568865060806274 ,     18.0, 5598.5034645159085, 5642.673262026748
stepwise,    566, 1, 5.0, 16.323051929473877 ,     17.0, 5560.585898028319 , 5599.847940260176
stepwise,    567, 1, 4.0, 13.36528205871582  ,     14.0, 5547.683372231113 , 5582.037659183988
stepwise,    568, 1, 2.0,  8.556725978851318 ,     10.0, 5466.733784670585 , 5491.272561065496
stepwise,    569, 1, 6.0, 17.018359899520874 ,     18.0, 5533.449645843293 , 5577.619443354132
stepwise,    570, 1, 4.0, 22.73379683494568  ,     14.0, 5512.837757048068 , 5547.192044000943
stepwise,    571, 1, 5.0, 15.089834928512573 ,     16.0, 5750.990034730401 , 5790.252076962258
stepwise,    572, 1, 6.0, 16.9580819606781   ,     18.0, 5584.602087753153 , 5628.771885263992
stepwise,    573, 1, 5.0, 15.901325941085815 ,     17.0, 5581.675337269682 , 5620.937379501539
stepwise,    574, 1, 4.0, 12.491305828094482 ,     14.0, 5814.820592460841 , 5849.174879413716
stepwise,    575, 2, 4.0, 17.577774047851562 ,     18.0, 5499.1990586804   , 5538.461100912257
stepwise,    576, 1, 5.0, 14.011924982070923 ,     16.0, 5694.9840325152445, 5734.246074747101
stepwise,    577, 2, 0.0,  9.506038188934326 ,     11.0, 5861.114760916008 , 5880.745782031937
stepwise,    578, 1, 4.0, 14.77968692779541  ,     14.0, 5637.644612154251 , 5671.998899107126
stepwise,    579, 1, 6.0, 17.74851107597351  ,     18.0, 5564.162003609169 , 5608.331801120008
