method,sim_id,p,q,time,n_models,aic,bic
grid_search,296,3,7.0,86.21584105491638,64.0,5597.940499403231,5656.833562751017
grid_search,297,3,6.0,86.86726188659668,64.0,5510.46036909877,5564.445677167573
grid_search,298,1,5.0,82.26715898513794,64.0,5698.8955042298985,5738.157546461755
grid_search,299,4,7.0,88.82263898849487,64.0,5572.533491350557,5636.334309977325
grid_search,300,3,4.0,78.49411702156067,64.0,5819.800074674083,5863.969872184922
grid_search,301,1,4.0,81.45372891426086,64.0,5728.9839985796125,5763.338285532487
grid_search,302,2,5.0,80.28745198249817,64.0,5603.570799288789,5647.740596799628
grid_search,303,1,4.0,78.75683093070984,64.0,5609.919736144008,5644.274023096883
grid_search,304,4,6.0,84.08702611923218,64.0,5619.5304462328895,5678.423509580675
grid_search,305,1,5.0,83.51907801628113,64.0,5552.513468508626,5591.775510740483
grid_search,306,1,5.0,78.42809009552002,64.0,5669.517661069667,5708.779703301524
grid_search,307,6,7.0,80.92325782775879,64.0,5486.969642663584,5560.585971848316
grid_search,308,7,2.0,79.07160997390747,64.0,5756.671046462258,5810.656354531062
grid_search,309,5,7.0,80.3643901348114,64.0,5689.371037289583,5758.079611195333
grid_search,310,7,4.0,87.97728514671326,64.0,5540.27282327496,5604.073641901728
grid_search,311,1,5.0,76.9147880077362,64.0,5732.8181232762345,5772.080165508091
grid_search,312,5,5.0,89.0663537979126,64.0,5410.544558741074,5469.43762208886
grid_search,313,1,4.0,79.27242994308472,64.0,5543.094130121278,5577.4484170741525
grid_search,314,4,4.0,77.08753108978271,64.0,5572.7825643918695,5621.860117181691
grid_search,315,2,6.0,77.15515398979187,64.0,5467.515755720684,5516.593308510505
grid_search,316,5,6.0,101.09344291687012,64.0,5409.4181791864,5473.218997813168
grid_search,317,1,5.0,80.17543888092041,64.0,5525.00258358634,5564.264625818197
grid_search,318,1,5.0,79.01592206954956,64.0,5875.46985888614,5914.731901117997
grid_search,319,2,6.0,94.03022289276123,64.0,5545.73932116649,5594.816873956312
grid_search,320,4,4.0,85.41075301170349,64.0,5252.95286980387,5302.030422593692
grid_search,321,3,5.0,83.27178287506104,64.0,5403.578573813245,5452.656126603067
grid_search,322,7,0.0,77.19219493865967,64.0,5816.332812919101,5860.50261042994
grid_search,323,1,4.0,73.09970211982727,64.0,5515.404507837119,5549.758794789994
grid_search,324,3,4.0,86.2964038848877,64.0,5518.076194041432,5562.245991552271
grid_search,325,7,2.0,83.22936797142029,64.0,5676.396162250556,5730.381470319359
grid_search,326,1,5.0,76.30497288703918,64.0,5612.02319626626,5651.285238498117
grid_search,327,4,6.0,81.07230687141418,64.0,5527.068360213981,5585.961423561766
grid_search,328,1,4.0,84.91342782974243,64.0,5341.946566458572,5376.300853411447
grid_search,329,6,3.0,84.07440400123596,64.0,5458.146630019644,5512.131938088448
grid_search,330,3,4.0,76.32382416725159,64.0,5721.294145722616,5765.463943233455
grid_search,331,1,5.0,80.45148396492004,64.0,5475.955432546075,5515.217474777932
grid_search,332,7,5.0,92.0920889377594,64.0,5415.702459895054,5484.411033800804
grid_search,333,4,5.0,77.69717812538147,64.0,5702.885198187569,5756.870506256372
grid_search,334,2,6.0,71.76501893997192,64.0,5744.649001455038,5793.7265542448595
grid_search,335,2,4.0,85.08640003204346,64.0,5768.663562001042,5807.925604232899
grid_search,336,4,4.0,87.06731009483337,64.0,5492.479024947032,5541.556577736853
grid_search,337,6,7.0,79.50743198394775,64.0,5157.912938261507,5231.52926744624
grid_search,338,2,4.0,83.33629703521729,64.0,5459.216084024905,5498.478126256762
grid_search,339,2,4.0,84.31660985946655,64.0,5503.768433084314,5543.030475316171
grid_search,340,2,5.0,78.8837320804596,64.0,5430.410345704931,5474.5801432157705
grid_search,341,1,4.0,87.9265148639679,64.0,5621.686350410605,5656.04063736348
grid_search,342,1,4.0,86.60028600692749,64.0,5761.910483948418,5796.264770901293
grid_search,343,3,7.0,84.66213798522949,64.0,5489.673018400882,5548.566081748668
grid_search,344,2,6.0,87.30670309066772,64.0,5486.112677504737,5535.190230294558
grid_search,345,5,6.0,90.45455718040466,64.0,5654.145602972574,5717.946421599342
grid_search,346,4,4.0,83.7793869972229,64.0,5569.021390721538,5618.09894351136
grid_search,347,5,5.0,86.8385751247406,64.0,5468.562162911778,5527.4552262595635
grid_search,348,5,7.0,90.61029696464539,64.0,5601.456582350171,5670.165156255921
grid_search,349,1,5.0,74.40162396430969,64.0,5546.909382894206,5586.171425126063
grid_search,350,1,4.0,70.65341997146606,64.0,5680.435831077993,5714.790118030867
grid_search,351,6,4.0,85.03094482421875,64.0,5669.9689049627295,5728.861968310515
grid_search,352,5,4.0,99.18800806999207,64.0,5496.3293914299065,5550.31469949871
grid_search,353,3,7.0,82.87510299682617,64.0,5539.824420521287,5598.717483869073
grid_search,354,1,5.0,80.7161500453949,64.0,5520.926484746513,5560.18852697837
grid_search,355,1,5.0,74.55534291267395,64.0,5636.909758737622,5676.171800969479
grid_search,356,1,5.0,87.33219814300537,64.0,5887.1004387819385,5926.362481013795
grid_search,357,1,4.0,80.40585112571716,64.0,5410.817754805862,5445.172041758737
grid_search,358,1,4.0,80.42737889289856,64.0,5544.033723697842,5578.388010650717
grid_search,359,6,0.0,80.58704614639282,64.0,5710.878302617719,5750.140344849576
grid_search,360,1,4.0,75.19887590408325,64.0,5839.864230396326,5874.218517349201
grid_search,361,7,4.0,80.48114609718323,64.0,5507.118637422277,5570.919456049045
grid_search,362,1,5.0,81.62205195426941,64.0,5614.526476369371,5653.788518601228
grid_search,363,1,4.0,86.75155115127563,64.0,5496.749255654183,5531.1035426070575
grid_search,364,4,4.0,87.81253099441528,64.0,5572.535092716429,5621.61264550625
grid_search,365,6,0.0,81.12950801849365,64.0,5450.290648925186,5489.552691157043
grid_search,366,1,4.0,81.21847319602966,64.0,5420.825174015884,5455.179460968759
grid_search,367,5,6.0,85.29887795448303,64.0,5595.210661369572,5659.01147999634
grid_search,368,6,5.0,86.94325089454651,64.0,5500.332368562232,5564.133187189
grid_search,369,1,4.0,82.36471104621887,64.0,5668.144193899362,5702.498480852237
grid_search,370,1,4.0,76.71218013763428,64.0,5455.918128333803,5490.272415286678
grid_search,371,5,5.0,73.449392080307,64.0,5610.155081630318,5669.048144978104
grid_search,372,7,2.0,75.17026901245117,64.0,5669.692823927944,5723.678131996748
grid_search,373,7,1.0,90.65503692626953,64.0,5331.050925555828,5380.1284783456495
grid_search,374,5,7.0,88.73443102836609,64.0,5647.175782199232,5715.8843561049825
grid_search,375,7,2.0,87.56578993797302,64.0,5521.551644874348,5575.536952943152
grid_search,376,6,2.0,85.73314690589905,64.0,5557.013322330421,5606.090875120242
grid_search,377,4,5.0,79.86260485649109,64.0,5544.458296999774,5598.443605068577
grid_search,378,2,7.0,87.27649688720703,64.0,5490.455853464477,5544.44116153328
grid_search,379,7,5.0,82.20148801803589,64.0,5510.108856425577,5578.817430331327
grid_search,380,1,4.0,85.37589001655579,64.0,5486.372920573052,5520.727207525927
grid_search,381,2,4.0,78.90795707702637,64.0,5603.374092237134,5642.636134468991
grid_search,382,4,4.0,81.85840201377869,64.0,5429.005520081252,5478.083072871073
grid_search,383,2,4.0,82.19522619247437,64.0,5517.452310929136,5556.714353160993
grid_search,384,3,5.0,84.50976395606995,64.0,5726.734385310201,5775.811938100022
grid_search,385,1,4.0,88.36251521110535,64.0,5406.833233351052,5441.187520303926
grid_search,386,4,6.0,87.53007197380066,64.0,5498.973973789012,5557.867037136798
