"Simulation_ID","Path_Taken"
"run_40","(2,2) IC:5801.23 -> (0,0) IC:6519.33 -> (1,0) IC:5840.24 -> (0,1) IC:Inf -> (1,1) IC:5802.11 -> (1,2) IC:5800.64 -> (0,2) IC:Inf -> (1,3) IC:5794.22 -> (0,3) IC:Inf -> (2,3) IC:5798.52 -> (1,4) IC:5768.95 -> (0,4) IC:Inf -> (2,4) IC:5784.42 -> (1,5) IC:5764.03 -> (0,5) IC:Inf -> (2,5) IC:5811.45 -> (1,6) IC:5762.50 -> (0,6) IC:Inf -> (2,6) IC:5760.68 -> (3,6) IC:5764.25 -> (2,7) IC:5764.52 -> (1,7) IC:5764.70 -> (3,5) IC:5759.53 -> (3,4) IC:5761.41 -> (4,5) IC:5812.42 -> (4,4) IC:5757.06 -> (4,3) IC:5786.50 -> (5,4) IC:5757.51 -> (3,3) IC:5797.37 -> (5,3) IC:5787.73 -> (5,5) IC:5765.28"
"run_41","(2,2) IC:5591.83 -> (0,0) IC:6391.79 -> (1,0) IC:5615.84 -> (0,1) IC:Inf -> (1,1) IC:5590.72 -> (2,1) IC:5588.89 -> (2,0) IC:5587.46 -> (3,0) IC:5588.62 -> (3,1) IC:5590.59"
"run_42","(2,2) IC:5522.60 -> (0,0) IC:6311.32 -> (1,0) IC:5553.11 -> (0,1) IC:6313.36 -> (1,1) IC:5518.73 -> (2,1) IC:5520.54 -> (1,2) IC:5520.64 -> (0,2) IC:Inf -> (2,0) IC:5519.25"
"run_43","(2,2) IC:5723.20 -> (0,0) IC:6486.41 -> (1,0) IC:5755.08 -> (0,1) IC:Inf -> (1,1) IC:5724.81 -> (1,2) IC:5722.66 -> (0,2) IC:Inf -> (1,3) IC:5712.72 -> (0,3) IC:Inf -> (2,3) IC:5726.64 -> (1,4) IC:5678.74 -> (0,4) IC:Inf -> (2,4) IC:5720.14 -> (1,5) IC:5678.42 -> (0,5) IC:Inf -> (2,5) IC:5679.32 -> (1,6) IC:5680.04 -> (0,6) IC:Inf -> (2,6) IC:5681.44"
"run_44","(2,2) IC:5831.07 -> (0,0) IC:6655.56 -> (1,0) IC:5885.60 -> (0,1) IC:6657.58 -> (1,1) IC:5847.14 -> (1,2) IC:5834.18 -> (2,1) IC:5836.66 -> (3,2) IC:5824.08 -> (3,1) IC:5836.77 -> (4,2) IC:5834.00 -> (3,3) IC:5832.70 -> (2,3) IC:5838.06 -> (4,1) IC:5835.11 -> (4,3) IC:5827.80"
"run_45","(2,2) IC:5882.43 -> (0,0) IC:6773.72 -> (1,0) IC:5903.70 -> (0,1) IC:Inf -> (1,1) IC:5879.54 -> (2,1) IC:5880.40 -> (1,2) IC:5880.98 -> (0,2) IC:6777.65 -> (2,0) IC:5878.38 -> (3,0) IC:5880.40 -> (3,1) IC:5882.43"
"run_46","(2,2) IC:5562.93 -> (0,0) IC:6371.72 -> (1,0) IC:5598.21 -> (0,1) IC:Inf -> (1,1) IC:5578.03 -> (1,2) IC:5565.74 -> (2,1) IC:5574.23 -> (3,2) IC:5545.00 -> (3,1) IC:5572.45 -> (4,2) IC:5542.48 -> (4,1) IC:5562.42 -> (5,2) IC:5517.32 -> (5,1) IC:5516.36 -> (5,0) IC:5535.31 -> (6,1) IC:5522.27 -> (4,0) IC:5569.60 -> (6,0) IC:5521.80 -> (6,2) IC:5523.50"
"run_47","(2,2) IC:5644.61 -> (0,0) IC:6633.10 -> (1,0) IC:5647.46 -> (0,1) IC:Inf -> (1,1) IC:5598.67 -> (2,1) IC:5599.94 -> (1,2) IC:5599.09 -> (0,2) IC:Inf -> (2,0) IC:5597.13 -> (3,0) IC:5598.94 -> (3,1) IC:5600.76"
"run_48","(2,2) IC:5690.18 -> (0,0) IC:6713.59 -> (1,0) IC:5712.72 -> (0,1) IC:Inf -> (1,1) IC:5686.39 -> (2,1) IC:5688.25 -> (1,2) IC:5688.67 -> (0,2) IC:6717.65 -> (2,0) IC:5685.75 -> (3,0) IC:5687.56 -> (3,1) IC:5690.42"
"run_49","(2,2) IC:5663.72 -> (0,0) IC:6393.76 -> (1,0) IC:5699.63 -> (0,1) IC:6395.81 -> (1,1) IC:5679.11 -> (1,2) IC:5665.83 -> (2,1) IC:5670.17 -> (3,2) IC:5649.87 -> (3,1) IC:5669.17 -> (4,2) IC:5643.10 -> (4,1) IC:5671.42 -> (5,2) IC:5642.92 -> (5,1) IC:5651.10 -> (6,2) IC:5638.84 -> (6,1) IC:5644.81 -> (7,2) IC:5638.91 -> (6,3) IC:5638.95 -> (5,3) IC:5646.78 -> (7,1) IC:5645.35 -> (7,3) IC:5641.33"
