"Simulation_ID","Path_Taken"
"run_31","(2,2) IC:6790.55 -> (0,0) IC:7004.55 -> (1,0) IC:6864.53 -> (0,1) IC:Inf -> (1,1) IC:6782.87 -> (2,1) IC:6769.34 -> (2,0) IC:6829.27 -> (3,1) IC:6769.60 -> (1,2) IC:6778.82 -> (3,0) IC:6823.86 -> (3,2) IC:6768.94 -> (4,2) IC:6770.90 -> (3,3) IC:6768.74 -> (2,3) IC:6767.83 -> (1,3) IC:6774.88 -> (2,4) IC:6769.32 -> (1,4) IC:6758.91 -> (0,4) IC:Inf -> (1,5) IC:6735.60 -> (0,5) IC:Inf -> (2,5) IC:6737.60 -> (1,6) IC:6737.60 -> (0,6) IC:Inf -> (2,6) IC:6739.08"
"run_32","(2,2) IC:6964.52 -> (0,0) IC:7248.96 -> (1,0) IC:7057.03 -> (0,1) IC:Inf -> (1,1) IC:6968.43 -> (1,2) IC:6958.37 -> (0,2) IC:Inf -> (1,3) IC:6951.28 -> (0,3) IC:Inf -> (2,3) IC:6958.54 -> (1,4) IC:6950.76 -> (0,4) IC:Inf -> (2,4) IC:6950.81 -> (1,5) IC:6916.17 -> (0,5) IC:Inf -> (2,5) IC:6931.03 -> (1,6) IC:6916.98 -> (0,6) IC:Inf -> (2,6) IC:6911.56 -> (3,6) IC:6913.74 -> (2,7) IC:6913.58 -> (1,7) IC:6913.40 -> (3,5) IC:6917.66 -> (3,7) IC:6915.58"
"run_33","(2,2) IC:6916.20 -> (0,0) IC:7093.70 -> (1,0) IC:6971.43 -> (0,1) IC:7095.69 -> (1,1) IC:6938.90 -> (1,2) IC:6928.39 -> (2,1) IC:6914.81 -> (2,0) IC:6955.42 -> (3,1) IC:6915.62 -> (3,0) IC:6952.99 -> (3,2) IC:6917.30"
"run_34","(2,2) IC:6783.02 -> (0,0) IC:7032.56 -> (1,0) IC:6884.87 -> (0,1) IC:7034.57 -> (1,1) IC:6798.97 -> (1,2) IC:6785.96 -> (2,1) IC:6781.96 -> (2,0) IC:6867.70 -> (3,1) IC:6783.31 -> (3,0) IC:6846.14 -> (3,2) IC:6780.14 -> (4,2) IC:6782.04 -> (3,3) IC:6782.10 -> (2,3) IC:6784.91 -> (4,1) IC:6785.13 -> (4,3) IC:6767.89 -> (5,3) IC:6788.50 -> (4,4) IC:6785.73 -> (3,4) IC:6791.02 -> (5,2) IC:6783.97 -> (5,4) IC:6782.63"
"run_35","(2,2) IC:6593.26 -> (0,0) IC:6838.99 -> (1,0) IC:6704.19 -> (0,1) IC:Inf -> (1,1) IC:6606.21 -> (1,2) IC:6600.21 -> (2,1) IC:6591.30 -> (2,0) IC:6682.39 -> (3,1) IC:6593.25 -> (3,0) IC:6668.04 -> (3,2) IC:6676.64"
"run_36","(2,2) IC:6878.87 -> (0,0) IC:7354.22 -> (1,0) IC:7045.60 -> (0,1) IC:7356.22 -> (1,1) IC:6876.06 -> (2,1) IC:6853.03 -> (2,0) IC:6964.72 -> (3,1) IC:6849.51 -> (3,0) IC:6951.51 -> (4,1) IC:6928.29 -> (3,2) IC:6850.48 -> (4,0) IC:6941.66 -> (4,2) IC:6852.73"
"run_37","(2,2) IC:6877.94 -> (0,0) IC:6979.03 -> (1,0) IC:6918.95 -> (0,1) IC:Inf -> (1,1) IC:6881.71 -> (1,2) IC:6879.72 -> (2,1) IC:6876.15 -> (2,0) IC:6904.56 -> (3,1) IC:6877.32 -> (3,0) IC:6899.56 -> (3,2) IC:6879.31"
"run_38","(2,2) IC:6963.44 -> (0,0) IC:7237.54 -> (1,0) IC:7028.27 -> (0,1) IC:Inf -> (1,1) IC:6891.19 -> (2,1) IC:6870.00 -> (2,0) IC:6992.51 -> (3,1) IC:6872.02 -> (1,2) IC:6917.66 -> (3,0) IC:6977.93 -> (3,2) IC:6873.19"
"run_39","(2,2) IC:6975.42 -> (0,0) IC:7165.20 -> (1,0) IC:7038.62 -> (0,1) IC:Inf -> (1,1) IC:6982.68 -> (1,2) IC:6975.48 -> (2,1) IC:6954.10 -> (2,0) IC:7021.19 -> (3,1) IC:6955.38 -> (3,0) IC:7015.92 -> (3,2) IC:7017.78"
"run_40","(2,2) IC:6911.26 -> (0,0) IC:7181.95 -> (1,0) IC:7016.19 -> (0,1) IC:Inf -> (1,1) IC:6944.62 -> (1,2) IC:6936.99 -> (2,1) IC:6909.70 -> (2,0) IC:6989.68 -> (3,1) IC:6910.49 -> (3,0) IC:6988.23 -> (3,2) IC:6911.62"
"run_41","(2,2) IC:6820.19 -> (0,0) IC:6916.86 -> (1,0) IC:6853.17 -> (0,1) IC:Inf -> (1,1) IC:6817.68 -> (2,1) IC:6811.20 -> (2,0) IC:6828.85 -> (3,1) IC:6807.87 -> (3,0) IC:6824.55 -> (4,1) IC:6828.54 -> (3,2) IC:6824.72 -> (4,0) IC:6826.55 -> (4,2) IC:6825.07"
"run_42","(2,2) IC:6738.81 -> (0,0) IC:6975.89 -> (1,0) IC:6803.47 -> (0,1) IC:6977.90 -> (1,1) IC:6741.51 -> (1,2) IC:6735.05 -> (0,2) IC:Inf -> (1,3) IC:6719.91 -> (0,3) IC:Inf -> (2,3) IC:6709.41 -> (3,3) IC:6704.13 -> (3,2) IC:6702.67 -> (3,1) IC:6704.28 -> (4,2) IC:6704.11 -> (2,1) IC:6708.05 -> (4,1) IC:6702.25 -> (4,0) IC:6757.15 -> (5,1) IC:6704.25 -> (3,0) IC:6765.75 -> (5,0) IC:6757.71 -> (5,2) IC:6699.78 -> (6,2) IC:6704.24 -> (5,3) IC:6767.26 -> (4,3) IC:6765.19 -> (6,1) IC:6702.31 -> (6,3) IC:6702.46"
