"district_code", "district_name"   , "tested_p", "tested_q", "aic_value"
             17, "Vila Real"       ,          1,          1, 5386.88811966141
             17, "Vila Real"       ,          0,          2, 5469.9029121319
             17, "Vila Real"       ,          2,          0, 5441.77638790466
             18, "Viseu"           ,          2,          2, 5730.92862537512
             18, "Viseu"           ,          0,          0, 6226.64709271849
             18, "Viseu"           ,          1,          0, 5962.70554377717
             18, "Viseu"           ,          0,          1, 6228.7955560907
             18, "Viseu"           ,          1,          2, 5591.84370953133
             18, "Viseu"           ,          0,          2, 6264.22717818135
             18, "Viseu"           ,          1,          3, 5591.37933992712
             18, "Viseu"           ,          0,          3, 6257.31667801401
             18, "Viseu"           ,          1,          4, 5593.19509082526
             18, "Viseu"           ,          0,          4, 6260.8570483988
             18, "Viseu"           ,          2,          4, 5817.48932670687
