"sim_id","p_order","q_order","time","n_models_tested","aic","bic","intercept","sigmasq","beta1","beta2","beta3","beta4","beta5","beta6","beta7","alpha1","alpha2","alpha3","alpha4","alpha5","alpha6","alpha7","mean.Temp.Lag5","mean.DTemp.Lag0","PM25.Lag0","mean.NO2.Lag2","status","error_message"
319,4,5,339.681219100952,25,5422.99341251983,5496.60974170457,0.0769216642705671,0.0176985851158033,0.185789078034373,-0.0484644116405504,-0.00573645745963927,0.045883286789343,,,,0.764537173558546,-0.407535307981684,0.416393143644132,-0.824799011323109,0.8513523698206,,,-0.00471374471279258,0.00471295194488496,0.00110671634931094,-0.0025119129400197,"Success",""
320,2,6,339.450533390045,25,5678.3333555519,5747.04192945765,0.171827446994407,0.0172487621472033,0.176010181636581,0.0979807697644803,,,,,,-0.212783838657449,0.262528309749783,0.0737791681442088,-0.287272938184768,0.0278931439960882,0.815226482670427,,-0.00648078402005737,0.00635266918518025,0.00431116763993198,-0.00488954308839913,"Success",""
321,2,1,162.086849212646,14,5735.39998786409,5779.56978537492,0.0136031586706602,0.0383422587368615,0.268745475320039,-0.218145876648265,,,,,,0.945276631868038,,,,,,,-0.00139467118144022,0.00141917646885489,0.000546999783661765,-0.00128296405140462,"Success",""
322,1,7,821.694490671158,24,5271.30247904163,5340.01105294738,0.0576013481426209,0.0243921356663043,0.156356028607001,,,,,,,0.222367659219843,0.409378465702557,-0.14821246517873,-0.334377316447683,0.218911071172204,0.84604415526776,-0.390390046556151,-0.00527810853007596,0.00534246317446362,0.00134863433013215,-0.00343177134163559,"Success",""
323,2,5,259.926105260849,21,5628.07781501373,5691.8786336405,0.0339942649036952,0.0189673730136549,0.2135241245769,-0.0939043057769016,,,,,,0.735870567198725,-0.287194099666797,0.266756960956336,-0.5609544623687,0.71619173453662,,,-0.00430246762542674,0.00432096845021571,0.00210443682981465,-0.00267730518497398,"Success",""
324,4,1,342.491836309433,19,5674.48426485645,5728.46957292526,0.0158332746589444,0.0231140469426015,0.225356222733531,-0.117152067164712,-0.105080481799436,0.0371983552925159,,,,0.954863542789189,,,,,,,-0.000855442601866325,0.000853019550419417,0.000455408383119869,-0.000608135288931099,"Success",""
325,3,2,170.961376667023,16,5446.88269914436,5500.86800721317,0.0518647106918667,0.0276557889240438,0.228659218346584,0.0442457975634744,-0.15889953214508,,,,,-0.062551215014178,0.933917747118543,,,,,,-0.0020695576846315,0.00208657665996816,0.000469112320600691,-0.00273755843174797,"Success",""
326,3,1,110.863138914108,13,5490.21299776583,5539.29055055565,0.0200113917555722,0.0226633493878801,0.219704715381945,-0.131330147561534,-0.0549525780690946,,,,,0.960572080511331,,,,,,,-0.000680038042826404,0.000656236521773097,0.000410289249506798,-0.000205015585282894,"Success",""
327,4,6,420.933925867081,26,5512.15625053275,5590.68033499646,0.0952809338408522,0.0222226238584378,0.208085743059958,0.172829288848939,-0.0540108566587239,-0.0677851360382375,,,,-0.323586139706615,0.353387758625037,0.110290398767859,-0.297505016369954,0.108247623246175,0.761837904763203,,-0.00731434989848637,0.00730854406851854,0.00302459534915424,-0.00423247326671845,"Success",""
328,2,6,290.127238750458,24,5421.42330606398,5490.13187996973,0.0943736669438727,0.024030006271309,0.201812172269704,0.159875209704388,,,,,,-0.343303837543749,0.280918632796793,0.0483508617560544,-0.22323895805425,0.104548279541278,0.743453625235843,,-0.00934080441617916,0.00925948221017178,0.00440059498603541,-0.00338937071991515,"Success",""
329,4,5,326.518317222595,26,5504.09842824142,5577.71475742615,0.0569063141071779,0.0233334464700196,0.206737341583515,-0.0632257264394186,0.0350742885318395,-0.031760295173198,,,,0.750208573858245,-0.472994910732348,0.467326231752031,-0.635764816719568,0.727781950859713,,,-0.00582868981569989,0.00590730047778125,0.00148669771348727,-0.00409909490121661,"Success",""
330,2,1,174.137343645096,11,5654.24558265355,5698.41538016439,0.0335167229573473,0.0221843331837566,0.156540586318961,-0.0747062588637993,,,,,,0.907290767841078,,,,,,,-0.00225842469978385,0.00227068788549809,0.000701873985256768,-0.0010010565404631,"Success",""
331,3,2,199.669157028198,16,5738.3041547073,5792.28946277611,0.0329856623971475,0.0256486854487408,0.228564278392425,0.0358779632021363,-0.185545058872567,,,,,-0.0426170509181597,0.953452028281607,,,,,,-0.00293649025711263,0.00298550104037829,0.00255130899335865,-0.00419616203340726,"Success",""
332,4,2,197.111079216003,16,5693.3595462316,5752.25260957939,0.00641077013495215,0.0279500534138836,0.253732899646199,0.0860046655327162,-0.187368239618187,-0.060390374616543,,,,-0.0250434026119321,0.931100507652551,,,,,,-0.00211088022091198,0.00212839266512448,0.00022641046430125,-0.000392129539887012,"Success",""
333,1,1,74.4686291217804,9,5647.39342120661,5686.65546343846,0.0146127091177487,0.0263492737906799,0.0562523659249456,,,,,,,0.939123541231578,,,,,,,-0.000724144819977952,0.000719247044151356,-0.000290473234709291,0.000264552185512525,"Success",""
334,2,1,93.1898620128632,11,5434.73965823977,5478.90945575061,0.020068469255454,0.0199877014361454,0.207365452572453,-0.176170173937985,,,,,,0.963062559534648,,,,,,,-0.000797251341083271,0.000800152032675692,0.000841567921757019,-0.00165404751709605,"Success",""
335,2,1,256.517149209976,11,5681.67074290752,5725.84054041836,0.0159795032402449,0.0225253774368062,0.195516073513012,-0.153938028261001,,,,,,0.953416262904108,,,,,,,-0.00102802998766742,0.00102215046102537,0.000115386410780785,1e-04,"Success",""
336,4,1,147.103676795959,16,5734.09545093996,5788.08075900877,0.00885949711964901,0.0342261191809786,0.223021830168529,-0.0782414182715475,-0.154101206665732,0.0716156333067147,,,,0.934988111431471,,,,,,,-0.00192597713422097,0.00196701656158678,0.000676732673401116,-0.0016616812082401,"Success",""
337,2,1,86.2207818031311,11,5353.38010147178,5397.54989898262,0.00457724345962891,0.0157714162697057,0.182750650602648,-0.144517573950289,,,,,,0.960286808794185,,,,,,,-0.000610812826004314,0.00060834794243391,0.000464622560724797,-0.000571460217803887,"Success",""
