"sim_id","p_order","q_order","time","n_models_tested","aic","bic","intercept","sigmasq","beta1","beta2","beta3","beta4","beta5","beta6","beta7","alpha1","alpha2","alpha3","alpha4","alpha5","alpha6","alpha7","mean.Temp.Lag5","mean.DTemp.Lag0","PM25.Lag0","mean.NO2.Lag2","status","error_message"
798,3,2,68.140768289566,16,5550.38967226405,5604.37498033286,0.0160231470700679,0.0170230476026946,0.168084572558592,-0.011428958927716,-0.0890603328422219,,,,,-0.00239387740628063,0.930243289573193,,,,,,-0.00236749111694708,0.00240346461269419,0.000819978645616917,-0.00199828080530589,"Success",""
799,1,7,147.61065030098,25,5534.81179136618,5603.52036527193,0.0351114949969785,0.0212918713895181,0.238847278683232,,,,,,,0.164892726764463,0.280125795555946,-0.114761976853791,-0.253747990323392,0.241658015458839,0.661796189763618,-0.229490779094287,-0.00356609900409692,0.00349291277900463,0.00155692442996259,1e-04,"Success",""
800,1,6,114.808005094528,23,5479.61534266339,5543.41616129016,0.0240731579062476,0.0275246251542237,0.175704050899133,,,,,,,0.609682342679932,0.190993757729708,-0.327602554407947,-0.338233855060441,0.99992536990698,-0.31743801412279,,-0.00320225201109185,0.00321383045946371,0.0012173487770482,-0.00195832639871826,"Success",""
801,2,1,69.6581094264984,11,5788.58646563992,5832.75626315076,0.0232550904921888,0.0329165023010038,0.247213156937089,-0.18200478662449,,,,,,0.927850050400409,,,,,,,-0.00151145426910244,0.00151320022432457,0.000873618769981595,-0.00116571831773675,"Success",""
802,3,7,263.069900035858,40,5479.65237760812,5558.17646207183,0.216323844747661,0.0205723816352196,0.271930696778338,0.336507733897485,0.16151684766266,,,,,-0.908523243202537,-0.14584394731098,0.360473762469441,-0.367516964152131,-0.041207894693855,0.657511329221794,0.59795820571013,-0.00834928918001031,0.00786744204954418,0.00810049424919485,0.00382057165301065,"Success",""
803,2,1,63.6578764915466,14,5528.63433609071,5572.80413360155,0.0202049050202435,0.0260783257726015,0.200456160449894,-0.168863174506433,,,,,,0.9627106575876,,,,,,,-0.00113353978139936,0.00115087345337649,0.000204046823327785,-0.00118243111631671,"Success",""
804,2,1,55.1374609470367,11,5668.92577087493,5713.09556838577,0.0139870439658442,0.0262698768086863,0.193381951222853,-0.128199878151403,,,,,,0.930452629605486,,,,,,,-0.00139659402008016,0.00140691161140234,0.000296385070952404,-0.000564257216285202,"Success",""
805,2,1,34.9374203681946,11,5499.15342074229,5543.32321825313,0.0337992041558018,0.0201486344035655,0.204638295392838,-0.146576365802386,,,,,,0.931985931322366,,,,,,,-0.0015881497325907,0.0016004946682131,0.000212756003217018,-0.00121953869418636,"Success",""
806,1,4,75.3590648174286,16,5545.26659470939,5599.25190277819,0.0302682695560241,0.0312491771862916,0.164666638528572,,,,,,,0.435232074626734,0.234855054024421,-0.407708188717101,0.563817541421413,,,,-0.00458220073231664,0.00455448933016954,0.00218761447204604,-0.00107393710109014,"Success",""
807,2,1,34.2092747688293,11,5562.97374175063,5607.14353926147,0.0270348684245869,0.0280021190879196,0.185788289833779,-0.124520580165784,,,,,,0.929616067181498,,,,,,,-0.00084358051271866,0.000845137237873749,0.000288836113670318,-0.000742302046127438,"Success",""
