"method"     , "sim_id", "p_order", "q_order", "time"           , "n_models_tested", "aic"           , "bic"           , "intercept"        , "sigmasq"         , "beta1"           , "beta2"            , "beta3"            , "beta4"          , "alpha1"           , "alpha2"            , "alpha3"          , "alpha4"         , "status" , "error_message"
"stepwise"   ,       41,         1,         0,  6.75            ,                 6, 2025.08819181889, 2037.73201611416, 0.769159342018472  , 0.0819412669988944, 0.268118582408711 ,                    ,                    ,                  ,                    ,                     ,                   ,                  , "Success", ""
"stepwise"   ,       42,         4,         2, 23.6500000000015 ,                16, 2034.95067428917, 2068.66753907655, 1.217897836135     , 0.102730491174999 , 0.210846039158415 , 0.266696619703339  , 0.221799033911044  , 0.143428529918726, -0.11275615370549  , -0.999999999992593  ,                   ,                  , "Success", ""
"stepwise"   ,       43,         1,         0,  7.43999999999869,                 6, 2015.60949682976, 2028.25332112503, 0.866695709392071  , 0.0911207988702491, 0.175066250788616 ,                    ,                    ,                  ,                    ,                     ,                   ,                  , "Success", ""
"stepwise"   ,       44,         1,         0,  6.95999999999913,                 6, 1997.49527332207, 2010.13909761734, 0.745097022145759  , 0.116288631391749 , 0.242431207825231 ,                    ,                    ,                  ,                    ,                     ,                   ,                  , "Success", ""
"stepwise"   ,       45,         1,         0,  7.27999999999884,                 6, 2005.46501579581, 2018.10884009108, 0.888508462795469  , 0.135420840577791 , 0.120960586364579 ,                    ,                    ,                  ,                    ,                     ,                   ,                  , "Success", ""
"stepwise"   ,       46,         1,         1,  9.02999999999884,                 8, 2034.77532846756, 2051.63376086125, 0.425683039163575  , 0.129258743264869 , 0.174479523993401 ,                    ,                    ,                  , 0.397162681524165  ,                     ,                   ,                  , "Success", ""
"stepwise"   ,       47,         1,         2, 12.0299999999988 ,                11, 1962.33893778666, 1983.41197827877, 1.19800217395625   , 0.0509087056543262, 0.238117254260334 ,                    ,                    ,                  , 0.209650283029057  , -0.647551204189742  ,                   ,                  , "Success", ""
"stepwise"   ,       48,         1,         0,  7.06999999999971,                 6, 1971.4958598014 , 1984.13968409667, 0.669135631015826  , 0.0707424385191492, 0.309968666140449 ,                    ,                    ,                  ,                    ,                     ,                   ,                  , "Success", ""
"stepwise"   ,       49,         1,         1,  8.72000000000116,                 8, 2020.90728802268, 2037.76572041637, 0.165474569836863  , 0.112548549147916 , 0.18338643910881  ,                    ,                    ,                  , 0.631830413363734  ,                     ,                   ,                  , "Success", ""
"stepwise"   ,       50,         1,         0,  6.88000000000102,                 6, 1991.49484136413, 2004.1386656594 , 0.719156962172256  , 0.0991779500670598, 0.265338351489293 ,                    ,                    ,                  ,                    ,                     ,                   ,                  , "Success", ""
"stepwise"   ,       51,         2,         0, 11.3600000000006 ,                10, 2037.80198953853, 2054.66042193222, 0.739255609172578  , 0.133999321416922 , 0.172908693933054 , 0.0884360246571775 ,                    ,                  ,                    ,                     ,                   ,                  , "Success", ""
"stepwise"   ,       52,         1,         0,  6.89999999999782,                 6, 2036.60485872807, 2049.24868302334, 0.80537540579096   , 0.0957577466329189, 0.23075550546591  ,                    ,                    ,                  ,                    ,                     ,                   ,                  , "Success", ""
"stepwise"   ,       53,         1,         1,  8.84999999999854,                 8, 2060.27850180907, 2077.13693420276, 0.387974359011801  , 0.140439715355414 , 0.239250399932419 ,                    ,                    ,                  , 0.372667243010828  ,                     ,                   ,                  , "Success", ""
"stepwise"   ,       54,         1,         0,  6.13000000000102,                 6, 1950.79810117317, 1963.44192546843, 0.847564708922885  , 0.0228960770837148, 0.193492172508701 ,                    ,                    ,                  ,                    ,                     ,                   ,                  , "Success", ""
"stepwise"   ,       55,         1,         1,  8.92000000000189,                 8, 1972.54699918989, 1989.40543158358, 0.340414902233892  , 0.0556300206483705, 0.290516741087662 ,                    ,                    ,                  , 0.338517510736755  ,                     ,                   ,                  , "Success", ""
"stepwise"   ,       56,         1,         2, 12.6899999999987 ,                11, 2035.85535332082, 2056.92839381293, 1.25216035700733   , 0.100273790499417 , 0.0861752999430086,                    ,                    ,                  , 0.65735185657825   , -0.916822245579717  ,                   ,                  , "Success", ""
"stepwise"   ,       57,         1,         0,  6.69000000000233,                 6, 1996.52405190544, 2009.16787620071, 0.777468633833596  , 0.0834241862752533, 0.233196761329617 ,                    ,                    ,                  ,                    ,                     ,                   ,                  , "Success", ""
